VOLARE STATUS,CALL OUTCOMES,HIERARCHY
BULK SMS SENT,SMS - SENT,5
BUSY,user busy 486,4
DROPPED,DROPPED BY CUSTOMER,2
DNC - HOLD EFFORT,SCH – RPC – Complaints,16
EMAIL SENT,EMAIL - SENT,3
JUNK - NO ACTIVE NUMBER,SCH – TP – Wrong Number,8
JUNK - DECEASED CLIENT,SCH – TP – Deceased,16
NEGATIVE - BUSY,BUSY TONE,4
NEGATIVE - NO ACTIVE NUMBER,NO ANSWER FROM THE USER,1
NEGATIVE - NO ANSWER,NO ANSWER FROM THE USER,1
NEGATIVE - VOICE CLIP,NO ANSWER FROM THE USER,1
NEGATIVE - WRONG NUMBER,SCH – TP – Wrong Number,8
NEW,NEW ENDO,0
PAYMENT - DISCOUNTED OTP,ATP - CLAIMS PAID,13
PAYMENT - PAID IN FULL,ATP - CLAIMS PAID,13
PAYMENT - PARTIAL,ATP - CLAIMS PAID,13
POSITIVE - 3RD PARTY CONTACTED,TP - CUSTOMER NOT THERE AT TIME OF CALL,7
POSITIVE - BUSY,BUSY TONE,4
POSITIVE - FAILED ID,TP - FAILED PID PROCESS,6
POSITIVE - HANG UP,DROPPED BY CUSTOMER,2
POSITIVE CONTACT - CALLBACK,RPC - REQUEST FOR CALLBACK,10
POSITIVE CONTACT - DISPUTE,SCH – RPC – Dispute,9
POSITIVE CONTACT - EMAIL RESPONSIVE,EMAIL - SENT,3
POSITIVE CONTACT - RPC CALL DISCONNECTED,DROPPED BY CUSTOMER,2
POSITIVE CONTACT - RPC REFUSE TO PAY,RPC - REFUSED TO PAY,11
POSITIVE CONTACT - SMS RESPONSIVE,SMS - SENT,5
POSITIVE CONTACT - UNDERNEGO,RPC - DEMAND FOR PAYMENT,12
POSITIVE CONTACT - VIBER RESPONSIVE,RPC - DEMAND FOR PAYMENT,12
PTP,RPC - PROMISED TO PAY,14
PTP - RPC PTP DISCOUNTED OTP,RPC - PROMISED TO PAY,14
PTP - RPC PTP FFUP,RPC - PROMISED TO PAY,14
PTP - RPC PTP FULL PAYMENT,RPC - PROMISED TO PAY,14
PTP - RPC PTP PARTIAL,RPC - PROMISED TO PAY,14
PTP - SPLIT PAYMENT,RPC - PROMISED TO PAY,14
RNA,no answer from the user 480,1
SMS SENT,SMS - SENT,5
UNTC,NO ANSWER FROM THE USER,1
VM,NO ANSWER FROM THE USER,1
RTP,OTHER NON-VOICE - SENT,4
ABORT,OTHER NON-VOICE - SENT,0
LOCKED,LOCKED,0
PM,OTHER NON-VOICE - SENT,2
POSITIVE - SENT EMAIL TEMPLATE,EMAIL - SENT,2
PU,OTHER NON-VOICE - SENT,2
JUNK - EMAIL NO RESPONSE,EMAIL - SENT,3
NEGATIVE - DROPPED THE CALL,DROPPED BY CUSTOMER,2
POSITIVE - REFUSE TO PAY,RPC - REFUSED TO PAY,11
POSITIVE - SENT VIBER TEMPLATE,VIBER - SENT,3
PTP - FULL PAYMENT,RPC - PROMISED TO PAY,14
